발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2023-12-14 15:13:00,12,15,목포,영해,35 | 12 | 40,125 | 33 | 28,풍랑주의보,정비불량,기관손상,1,21,21,0,0,0,화물선,28927
2023-12-14 12:00:00,12,12,목포,영해,34 | 46 | 33,126 | 22 | 58,양호,정비불량,기관손상,1,2,2,0,0,0,어선,9.77
2023-12-14 11:41:00,12,11,부산,영해,34 | 59 | 40,128 | 53 | 25,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.45
2023-12-14 10:11:00,12,10,부산,항계 내,35 | 3 | 38,128 | 57 | 15,양호,운항부주의,침수,1,1,1,0,0,0,어선,1.01
2023-12-14 07:11:00,12,7,속초,영해,38 | 27 | 3,128 | 28 | 24,황천6급,운항부주의,부유물감김,1,4,4,0,0,0,어선,7.93
2023-12-14 06:31:00,12,6,창원,영해,35 | 2 | 22,128 | 33 | 33,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.81
2023-12-14 03:57:00,12,3,통영,영해,34 | 32 | 12,128 | 25 | 44,양호,운항부주의,부유물감김,1,9,9,0,0,0,어선,55
2023-12-13 17:25:00,12,17,제주,영해,33 | 28 | 37,126 | 17 | 19,양호,정비불량,기관손상,1,12,12,0,0,0,어선,9.77
2023-12-13 16:17:00,12,16,창원,영해,35 | 2 | 57,128 | 47 | 11,양호,정비불량,기관손상,1,1,1,0,0,0,고무보트,0.1
2023-12-13 12:37:00,12,12,보령,영해,36 | 24 | 2,126 | 17 | 51,양호,정비불량,기관손상,1,5,5,0,0,0,낚시어선,3.15
2023-12-13 10:54:00,12,10,목포,영해,34 | 49 | 58,126 | 11 | 11,풍랑주의보,정비불량,기관손상,1,31,31,0,0,0,여객선,2103
2023-12-13 10:44:00,12,10,평택,영해,37 | 7 | 53,126 | 26 | 4,양호,정비불량,기관손상,1,4,4,0,0,0,예부선,199
2023-12-13 10:00:00,12,10,서귀포,영해,33 | 31 | 0,126 | 52 | 60,양호,정비불량,기관손상,1,1,1,0,0,0,어선,4.97
2023-12-13 08:34:00,12,8,부안,영해,35 | 39 | 10,126 | 6 | 20,양호,운항부주의,부유물감김,1,16,16,0,0,0,낚시어선,6.5
2023-12-13 07:46:00,12,7,제주,영해,33 | 40 | 0,126 | 22 | 60,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.97
2023-12-13 06:29:00,12,6,창원,영해,34 | 58 | 5,128 | 44 | 17,양호,운항부주의,충돌,1,8,8,0,0,0,어선,6.67
2023-12-13 06:29:00,12,6,창원,영해,34 | 58 | 5,128 | 44 | 17,양호,운항부주의,충돌,1,2,2,0,0,0,예부선,43
2023-12-13 06:29:00,12,6,창원,영해,34 | 58 | 5,128 | 44 | 17,양호,운항부주의,충돌,1,1,1,0,0,0,예부선,930
2023-12-13 05:05:00,12,5,사천,항계 내,34 | 40 | 9,128 | 2 | 26,양호,운항부주의,충돌,1,6,6,0,0,0,유조선,323
2023-12-13 05:05:00,12,5,사천,항계 내,34 | 40 | 9,128 | 2 | 26,양호,운항부주의,충돌,1,5,5,0,0,0,유조선,293
2023-12-12 14:30:00,12,14,평택,영해,36 | 36 | 0,126 | 0 | 0,양호,정비불량,기관손상,1,3,3,0,0,0,어선,6
2023-12-12 09:19:00,12,9,서귀포,항계 내,33 | 14 | 20,126 | 33 | 40,양호,운항부주의,접촉,1,12,12,0,0,0,어선,29
2023-12-12 09:19:00,12,9,서귀포,항계 내,33 | 14 | 20,126 | 33 | 40,양호,운항부주의,접촉,1,0,0,0,0,0,어선,66
