진료년도,시도,시군구,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,전북,익산시,383402,5638999,6550684,539812142330,416654622490
2023,전북,전주완산구,710774,7328193,8990226,686483305960,521111739870
2023,전북,전주덕진구,709851,7057685,8435383,824689926550,635862171750
2023,전북,정읍시,131540,2072571,2484027,135360344140,102826594930
2023,전북,김제시,94920,1453989,1875021,102273002970,79596623160
2023,전남,강진군,51150,629400,709908,39966219060,31117301700
2023,전남,고흥군,66678,1119805,1220163,58313263460,44715042920
2023,전남,곡성군,32124,405556,447356,18785652950,14310757320
2023,전남,구례군,32023,377735,471988,23338123310,17853993950
2023,전남,담양군,59258,673277,923105,47086666770,37023865490
2023,전남,무안군,168498,1607025,1835893,87141922580,65937550530
2023,전남,보성군,51239,601951,797929,42557573970,32502514040
2023,전남,신안군,31838,388985,463618,17693730160,13584908420
2023,전남,영광군,69338,1194298,1377283,74998891720,56288698360
2023,전남,영암군,68824,735430,803107,31933955030,24354237260
2023,전남,완도군,52660,742136,757811,27927927020,21561145300
2023,전남,장성군,43962,505882,647743,32845964600,25177653870
2023,전남,장흥군,55320,727873,835000,40867076990,31191385640
2023,전남,진도군,31483,434758,464551,16647828500,12780045170
2023,전남,함평군,35439,422742,473826,19299984020,14868827220
2023,전남,해남군,104977,1361087,1574850,91900561750,69182823230
2023,전남,화순군,153423,1423061,2182228,418129215720,361463594890
2023,전남,나주시,161031,1933431,2503902,148635574420,111407959420
2023,전남,목포시,410600,5162448,6503527,497886524270,374851098340
2023,전남,순천시,475552,5383209,6571381,536366788750,405883164370
2023,전남,여수시,353414,5365471,6429889,402048429330,300349614070
2023,전남,광양시,186835,1934209,2191600,112440071470,83460902550
2023,경북,고령군,45435,382876,413219,16792447210,12635336880
2023,경북,군위군,19384,133658,133414,4744908700,3578296540
2023,경북,봉화군,27276,245217,285702,12717454750,9755095870
2023,경북,성주군,44228,473885,591598,27094158070,20607828320
2023,경북,영덕군,45788,595417,656857,28706889840,21969812400
2023,경북,영양군,13006,103185,105677,3443103650,2538456980
2023,경북,예천군,63746,692030,813570,38800615780,29636813850
2023,경북,울릉군,9264,62589,63607,3139394280,2264677180
2023,경북,울진군,59672,625689,671903,27121983540,20646456740
2023,경북,의성군,51822,606973,759500,33606014400,25608166620
2023,경북,청도군,51713,615980,726719,29537945530,22794437020
2023,경북,청송군,31716,267164,301179,11836784580,9000264320
2023,경북,칠곡군,156410,1391611,1588071,65522157560,49039248360
2023,경북,경주시,323506,4113984,4768775,275258428470,206021230600
2023,경북,구미시,573790,6894701,7520878,480730420060,358130633420
2023,경북,김천시,160969,1996021,2281500,144419810050,108058060430
2023,경북,안동시,272756,2970828,3743525,351831012240,270852043160
2023,경북,영주시,136953,1814784,2082446,108775561780,80695099470
2023,경북,영천시,124596,1719199,1978140,100821976680,75191164180
2023,경북,포항남구,444608,4263887,4841519,442714835490,330799020460
2023,경북,포항북구,440127,4636869,5680021,345243529480,258540562660
2023,경북,문경시,93304,1291225,1406726,70229270230,52689644160
2023,경북,상주시,113839,1496674,1677705,99319976290,74331024450
2023,경북,경산시,422378,4409747,4910328,254332437970,189041925600
2023,경남,거창군,77742,1053961,1178739,59814789640,45247584670
2023,경남,고성군,57575,701738,853073,46302726530,34339417360
2023,경남,남해군,44710,668052,713836,27031130900,20980796240
2023,경남,산청군,38113,421290,464633,15305571950,11850596620
2023,경남,의령군,29830,394304,468367,18833076440,14282260950
2023,경남,창녕군,73290,880591,1143114,58380989490,44300286440
2023,경남,하동군,48615,618607,665347,24606684110,19127489880
2023,경남,함안군,91349,720040,922638,47162937720,35859349160
2023,경남,함양군,46685,662982,695096,32453906500,24841023330
2023,경남,합천군,44959,582810,698634,34081382960,25688167950
2023,경남,김해시,682938,8584802,10483130,652834509420,484978282730
2023,경남,사천시,157244,1907190,2332395,140733981530,106975357610
2023,경남,진주시,559470,6898211,7978720,723049169590,551565064580
2023,경남,창원마산회원구,494753,4270378,5118132,507303993010,390924337490
2023,경남,창원마산합포구,302600,3040476,3925617,278640833600,209428948420
2023,경남,창원진해구,263036,2793386,3134302,153402808250,113670578010
2023,경남,창원의창구,552635,4636844,5634818,517018566510,392641900000
2023,경남,창원성산구,521087,4287847,4811198,373536498260,286104899680
2023,경남,통영시,166498,2334643,2601522,139146246330,104211885700
2023,경남,밀양시,120316,1599771,1874170,108307413050,82102921420
2023,경남,거제시,277173,3594694,3991625,223970855500,165326015830
2023,경남,양산시,603128,6670829,7933192,745625367740,588172943790
2023,제주,서귀포시,288023,3220335,3295985,147527363570,111041876650
2023,제주,제주시,706540,9784688,10665279,718555478710,550046798870
2023,세종,세종시,550764,6580354,6816312,390892561880,296074080490
