날짜,시도지역코드,발생건수(건)
2023-11-03,28.0,1459.0
2023-11-03,29.0,810.0
2023-11-03,30.0,703.0
2023-11-03,31.0,545.0
2023-11-03,41.0,6123.0
2023-11-03,42.0,0.0
2023-11-03,43.0,940.0
2023-11-03,44.0,1454.0
2023-11-03,45.0,1065.0
2023-11-03,46.0,1122.0
2023-11-03,47.0,1277.0
2023-11-03,48.0,1545.0
2023-11-03,49.0,363.0
2023-11-03,99.0,24943.0
2023-11-04,11.0,2728.0
2023-11-04,26.0,1050.0
2023-11-04,27.0,760.0
2023-11-04,28.0,1075.0
2023-11-04,29.0,586.0
2023-11-04,30.0,499.0
2023-11-04,31.0,384.0
2023-11-04,41.0,4327.0
2023-11-04,42.0,0.0
2023-11-04,43.0,578.0
2023-11-04,44.0,1085.0
2023-11-04,45.0,599.0
2023-11-04,46.0,796.0
2023-11-04,47.0,859.0
2023-11-04,48.0,1113.0
2023-11-04,49.0,231.0
2023-11-04,99.0,16982.0
2023-11-05,11.0,276.0
2023-11-05,26.0,108.0
2023-11-05,27.0,125.0
2023-11-05,28.0,308.0
2023-11-05,29.0,39.0
2023-11-05,30.0,85.0
2023-11-05,31.0,13.0
2023-11-05,41.0,1009.0
2023-11-05,43.0,58.0
2023-11-05,44.0,336.0
2023-11-05,45.0,60.0
2023-11-05,46.0,132.0
2023-11-05,47.0,82.0
2023-11-05,48.0,206.0
2023-11-05,49.0,17.0
2023-11-05,99.0,2885.0
2023-11-06,11.0,5007.0
2023-11-06,26.0,1814.0
2023-11-06,27.0,1355.0
2023-11-06,28.0,1812.0
2023-11-06,29.0,1042.0
2023-11-06,30.0,833.0
2023-11-06,31.0,695.0
2023-11-06,41.0,6881.0
2023-11-06,42.0,0.0
2023-11-06,43.0,1101.0
2023-11-06,44.0,1835.0
2023-11-06,45.0,1321.0
2023-11-06,46.0,1481.0
2023-11-06,47.0,1601.0
2023-11-06,48.0,2083.0
2023-11-06,49.0,444.0
2023-11-06,99.0,30107.0
2023-11-07,11.0,3942.0
2023-11-07,26.0,1505.0
2023-11-07,27.0,1021.0
2023-11-07,28.0,1457.0
2023-11-07,29.0,760.0
2023-11-07,30.0,628.0
2023-11-07,31.0,531.0
2023-11-07,41.0,5743.0
2023-11-07,42.0,0.0
2023-11-07,43.0,827.0
2023-11-07,44.0,1399.0
2023-11-07,45.0,962.0
2023-11-07,46.0,1090.0
2023-11-07,47.0,1264.0
2023-11-07,48.0,1483.0
2023-11-07,49.0,309.0
2023-11-07,99.0,23544.0
2023-11-08,11.0,3425.0
2023-11-08,26.0,1328.0
2023-11-08,27.0,976.0
2023-11-08,28.0,1283.0
2023-11-08,29.0,601.0
2023-11-08,30.0,568.0
2023-11-08,31.0,441.0
2023-11-08,41.0,4854.0
2023-11-08,42.0,0.0
2023-11-08,43.0,678.0
2023-11-08,44.0,1121.0
2023-11-08,45.0,849.0
2023-11-08,46.0,1036.0
2023-11-08,47.0,1023.0
2023-11-08,48.0,1292.0
2023-11-08,49.0,237.0
2023-11-08,99.0,20181.0
2023-11-09,11.0,3424.0
2023-11-09,26.0,1354.0
2023-11-09,27.0,914.0
2023-11-09,28.0,1324.0
2023-11-09,29.0,722.0
2023-11-09,30.0,591.0
2023-11-09,31.0,504.0
2023-11-09,41.0,5033.0
2023-11-09,42.0,0.0
2023-11-09,43.0,790.0
2023-11-09,44.0,1176.0
2023-11-09,45.0,805.0
2023-11-09,46.0,1083.0
2023-11-09,47.0,1113.0
