신고일시,접수일시,수계,지원여부,주소,상세주소,등록일시,수정일자,삭제여부,첨부파일,등록기관
2014-08-08 0:00,2014-08-08 0:00,낙동강,Y,경상남도 함안군 칠서면,,,,N,,1.0
2014-08-08 0:00,2014-08-08 0:00,한강,N,강원도 화천군 상서면 산양리,,,,N,,1.0
2014-08-09 0:00,2014-08-09 0:00,금강,Y,충청남도 부여군 장암면 합곡리,,,,N,,1.0
2014-08-22 0:00,2014-08-22 0:00,영산강,N,전라남도 화순군 도곡면 천암리,,,,N,,1.0
2014-08-27 0:00,2014-08-27 0:00,낙동강,Y,경상북도 경산시 진량읍 봉회리,,,,N,,1.0
2014-12-23 14:30,2014-12-23 14:30,한강,N,강원도 강릉시 강동면 산성우리 259-1,,2014-12-23 14:30,2014-12-23 17:58,N,,1.0
2015-01-05 0:10,2015-01-06 14:49,한강,Y,경기도 용인시 처인구 고림동 673-14번지,,2015-01-06 14:53,2017-02-16 14:26,N,,1.0
2015-01-18 15:00,2015-01-18 15:00,영산강,N,전라북도 익산시 왕궁면 제석사지로 335,(주) 신평산업,2015-01-21 15:23,2017-02-16 14:17,N,,1.0
2015-02-05 22:00,2015-02-05 22:00,한강,Y,강원도 화천군 간동면 오음리 493-1,강원도 화천 북한강 인근 군부대,2017-02-09 14:21,2017-02-16 13:56,N,,1.0
2015-02-13 15:49,2015-02-13 15:49,한강,,경기도 화성시 장안면 금의리 477-8,,2017-02-09 14:37,2017-02-09 14:37,Y,,1.0
2015-02-13 21:06,2015-02-13 21:06,한강,Y,경기도 화성시 장안면 금의리 477-2,(주) 대명특수산업,2015-02-23 15:12,2017-02-16 13:54,N,,1.0
2015-02-16 11:20,2015-02-16 11:20,낙동강,Y,경상북도 구미시 임수동 92-11,경상북도 구미시 동락공원 앞 수로(칠곡군 경계지점),2017-02-09 16:04,2017-02-16 13:44,N,,1.0
2015-02-16 11:20,2015-02-16 11:20,낙동강,,경상북도 구미시 오태동 산 35-1,경상북도 구미시 동락공원 앞 수로(칠곡군 경계지점),2017-02-09 14:48,2017-02-09 14:48,Y,,1.0
2015-03-03 11:00,2015-03-03 11:00,낙동강,Y,경상북도 안동시 일직면 조탑리 452-6,경북 안동시 일직면 조탑리 478(남안동IC에서 TG 진입도로),2017-02-09 15:41,2017-02-16 13:38,N,,1.0
2015-03-05 12:10,2015-03-05 12:10,금강,Y,세종특별자치시  연기면 해밀리 6-2,세종특별자치시 도담동1-4 생활권 C4-2,2017-02-09 15:49,2017-02-16 13:33,N,,1.0
2015-03-29 15:30,2015-03-29 15:30,금강,Y,세종특별자치시  연기면 세종리 산 261,세종특별자치시 도담동 390 도담2교 인근,2017-02-09 15:54,2017-02-16 13:26,N,,1.0
2015-04-07 9:20,2015-04-07 9:20,영산강,Y,광주광역시 남구 승촌동 604-8,승촌보 상류 계류장 주변(나주시 노안면),2017-02-09 16:38,2017-02-16 13:19,N,,1.0
2015-04-13 9:30,2015-04-13 9:33,영산강,Y,전라남도 화순군 도곡면 대곡리 952-13,농가 비닐하우스,2017-02-09 17:35,2017-02-15 16:51,N,,1.0
2015-04-16 9:35,2015-04-16 9:37,영산강,Y,광주광역시 광산구 용봉동 211-4,승촌보 상류 용봉배수장 주변(나주시 노안면),2017-02-09 17:48,2017-02-15 9:14,N,,1.0
2015-05-25 2:16,2015-05-25 8:00,한강,Y,경기도 김포시 고촌읍 전호리 743,제일모직 김포물류센터,2017-03-27 11:14,2017-03-27 11:21,N,,1.0
2015-05-25 2:16,2017-03-27 8:00,한강,Y,경기도 김포시 고촌읍 전호리 743,제일모직 김포물류센터,2017-03-27 11:11,2017-03-27 11:12,Y,,1.0
2015-05-25 6:50,2015-05-25 6:55,한강,Y,경기도 김포시 고촌읍 전호리 743,제일모직 김포물류센터,2017-02-09 13:46,2017-02-09 14:55,Y,,1.0
2015-05-29 9:55,2015-05-29 10:00,한강,Y,경기도 여주시 가남읍 삼군리 94-2,스티로폼 제조공장,2017-02-09 15:00,2017-02-14 10:56,N,,1.0
2015-05-29 10:00,2017-02-09 14:55,한강,,경기도 여주시 가남읍 삼군리 94-2,스티로폼 제조공장,2017-02-09 14:58,2017-02-09 14:58,Y,,1.0
2015-06-06 19:00,2015-06-07 7:00,한강,Y,서울특별시 마포구 상암동 1538,올림픽대교 북단,2017-02-09 15:14,2017-02-14 9:43,N,,1.0
2015-06-07 15:40,2015-06-07 15:41,한강,Y,경기도 용인시 처인구 포곡읍 둔전리 422-13,둔전역~수포교 사이 경안천,2017-02-09 15:35,2017-02-13 11:22,N,,1.0
2015-06-08 12:30,2015-06-08 15:37,영산강,Y,광주광역시 북구 신용동 641-1,첨단대교 인근 배수로,2017-02-09 15:42,2017-02-13 11:17,N,,1.0
2015-06-09 9:30,2015-06-09 9:35,영산강,Y,광주광역시 서구 용두동 2348,광주광역시 서구 서창동 서창교(승촌보 상류 8km),2017-02-09 16:30,2017-02-13 11:06,N,,1.0
2015-06-14 13:45,2015-06-14 13:47,금강,Y,대전광역시 대덕구 신일동 1235-1,1235-2 용신교 부근,2017-02-09 16:37,2017-02-13 10:36,N,,1.0
2015-06-24 13:00,2015-06-24 13:03,한강,Y,경기도 가평군 설악면 회곡리 741-8,북한강변,2017-02-09 16:59,2017-02-13 10:33,N,,1.0
2015-07-14 10:45,2015-07-14 10:40,낙동강,Y,경상북도 성주군 선남면 성주로 4003,낙동강합류부 ~ 상류 1.7km,2017-02-09 16:40,2017-02-13 10:20,N,,1.0
