조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2021,동해,강구연안,16.51,10.56,33.27,34.1,8.3,8.09,8.96,7.81,1.25,0.99,4.7,10.19,2.41,3.24,52.04,159.67,59.15,173.09,148.08,248.41,7.34,29.01,17.52,35.54,223.46,532.32,5.21,7.29,1.56,0.5,7.88
2021,동해,월포연안,15.42,10.18,33.88,34.18,8.2,8.11,9.01,7.59,1.14,1.24,2.42,11.53,2.61,3.75,39.01,175.18,44.03,190.47,153.94,255.22,6.94,28.97,20.15,36.3,219.1,579.21,7.48,7.4,2.2,0.69,7.44
2021,동해,영일만,17.09,12.94,33.49,34.12,8.23,8.12,8.73,7.88,1.37,1.39,10.15,16.02,3.65,4.1,57.5,96.99,71.3,117.12,182.13,217.52,9.62,17.43,22.97,32.64,257.16,377.04,5.15,5.26,2.03,1.06,5.22
2021,동해,구룡포연안,17.76,15.09,33.37,33.98,8.24,8.15,8.71,7.36,1.15,1.25,6.84,5.9,3.36,5.44,40.19,94.99,50.39,106.32,136.93,175.15,7.84,15.85,17.12,23.31,199.64,347.96,5.15,5.95,1.81,1.1,7.63
2021,동해,감포연안,17.92,14.96,33.36,33.97,8.2,8.13,8.46,7.18,1.32,1.16,5.89,5.28,4.13,6.59,47.98,95.87,58.0,107.75,138.59,186.24,9.55,17.93,20.82,28.86,230.31,384.1,8.48,7.61,1.92,0.98,5.94
2021,남해,울산연안,16.99,15.76,32.22,33.58,8.14,8.13,7.59,7.3,1.49,1.44,63.32,33.98,10.19,8.29,145.07,119.01,218.58,161.29,325.88,265.63,20.35,19.38,34.07,30.95,423.54,392.71,8.09,9.5,2.42,1.49,3.42
2021,남해,온산연안,17.29,15.52,32.73,33.52,8.18,8.16,8.01,7.47,1.34,1.39,29.57,24.33,7.72,7.4,129.15,122.44,166.44,154.18,285.93,262.71,15.27,18.51,29.51,28.53,372.24,395.53,8.4,8.95,2.41,1.47,3.68
2021,남해,기장연안,18.12,17.21,33.28,33.51,8.11,8.1,7.88,7.06,1.12,1.36,7.26,14.3,4.32,4.03,70.81,67.06,82.39,85.39,183.51,195.93,10.26,14.74,22.57,24.84,303.0,387.51,8.3,13.56,1.58,0.75,3.76
2021,남해,부산연안,17.88,17.11,33.11,33.48,8.09,8.1,7.92,7.34,1.26,1.78,23.8,22.25,6.58,6.37,98.24,98.86,128.62,127.49,222.06,212.88,15.49,16.69,28.28,28.1,327.39,350.25,7.12,10.2,2.19,1.29,3.6
2021,남해,낙동강하구,17.54,16.12,32.78,33.52,8.17,8.13,8.05,7.52,1.29,1.23,3.51,7.7,4.76,5.21,49.86,72.64,58.13,85.54,178.86,204.11,7.06,14.48,20.64,25.43,230.8,332.63,9.24,11.28,2.87,1.91,4.41
2021,남해,행암만,18.11,17.76,32.13,32.32,8.28,8.25,10.03,9.41,3.21,2.91,23.93,28.72,2.15,2.04,18.24,19.13,44.32,49.89,301.9,267.85,4.84,4.19,41.67,37.87,245.12,250.91,18.06,20.22,11.96,10.27,2.31
2021,남해,마산만,17.41,16.52,31.51,32.2,8.15,8.09,7.82,6.62,2.72,2.59,42.32,77.02,5.62,6.15,42.72,41.41,90.66,124.58,312.52,307.57,11.96,20.21,44.27,45.05,354.41,468.79,14.81,13.66,7.94,5.36,2.75
2021,남해,진해만,17.45,15.82,31.92,32.74,8.16,8.06,8.45,6.49,1.87,1.72,11.85,56.88,2.93,5.98,23.6,35.52,38.38,98.38,201.12,231.7,5.03,17.85,24.18,33.69,270.46,539.88,6.76,8.8,3.79,2.37,4.8
2021,남해,거제도동안,18.33,16.22,32.8,33.65,8.2,8.14,8.62,7.39,1.53,1.27,4.07,8.15,2.61,5.47,24.85,78.77,31.51,92.38,162.94,187.59,5.4,13.78,20.68,26.0,175.29,353.29,8.38,19.23,2.25,1.73,5.31
2021,남해,거제도남안,18.12,16.58,33.2,33.69,8.08,8.05,7.99,7.23,1.38,1.41,7.35,26.61,4.15,4.72,43.16,67.27,54.66,98.59,179.78,197.2,11.55,15.98,24.92,28.41,281.59,366.01,11.07,11.89,2.07,1.72,5.07
2021,남해,통영연안,18.0,17.19,32.83,33.1,8.06,8.05,8.19,7.6,1.7,1.54,12.93,41.74,5.04,6.59,40.97,54.46,58.94,102.79,203.8,202.25,11.12,16.96,29.44,30.49,292.9,413.0,10.98,10.61,2.92,2.58,3.83
