날짜,시도지역코드,발생건수(건)
2023-10-23,11.0,9901.0
2023-10-23,26.0,3777.0
2023-10-23,27.0,3027.0
2023-10-23,28.0,2593.0
2023-10-23,29.0,1179.0
2023-10-23,30.0,1531.0
2023-10-23,31.0,915.0
2023-10-23,41.0,13945.0
2023-10-23,42.0,3.0
2023-10-23,43.0,1608.0
2023-10-23,44.0,2272.0
2023-10-23,45.0,2297.0
2023-10-23,46.0,1780.0
2023-10-23,47.0,2727.0
2023-10-23,48.0,3108.0
2023-10-23,49.0,879.0
2023-10-23,99.0,52953.0
2023-10-24,11.0,7624.0
2023-10-24,26.0,2933.0
2023-10-24,27.0,2389.0
2023-10-24,28.0,2077.0
2023-10-24,29.0,1044.0
2023-10-24,30.0,1251.0
2023-10-24,31.0,669.0
2023-10-24,41.0,10778.0
2023-10-24,42.0,1.0
2023-10-24,43.0,1213.0
2023-10-24,44.0,1848.0
2023-10-24,45.0,1777.0
2023-10-24,46.0,1567.0
2023-10-24,47.0,2195.0
2023-10-24,48.0,2540.0
2023-10-24,49.0,622.0
2023-10-24,99.0,41675.0
2023-10-25,11.0,7050.0
2023-10-25,26.0,2724.0
2023-10-25,27.0,2252.0
2023-10-25,28.0,1869.0
2023-10-25,29.0,862.0
2023-10-25,30.0,1144.0
2023-10-25,31.0,624.0
2023-10-25,41.0,9673.0
2023-10-25,42.0,0.0
2023-10-25,43.0,1124.0
2023-10-25,44.0,1545.0
2023-10-25,45.0,1625.0
2023-10-25,46.0,1264.0
2023-10-25,47.0,2036.0
2023-10-25,48.0,2260.0
2023-10-25,49.0,693.0
2023-10-25,99.0,37800.0
2023-10-26,11.0,6887.0
2023-10-26,26.0,2635.0
2023-10-26,27.0,2143.0
2023-10-26,28.0,1796.0
2023-10-26,29.0,848.0
2023-10-26,30.0,1201.0
2023-10-26,31.0,654.0
2023-10-26,41.0,9571.0
2023-10-26,42.0,0.0
2023-10-26,43.0,1115.0
2023-10-26,44.0,1707.0
2023-10-26,45.0,1649.0
2023-10-26,46.0,1431.0
2023-10-26,47.0,2036.0
2023-10-26,48.0,2360.0
2023-10-26,49.0,675.0
2023-10-26,99.0,37773.0
2023-10-27,11.0,7911.0
2023-10-27,26.0,3049.0
2023-10-27,27.0,2475.0
2023-10-27,28.0,2145.0
2023-10-27,29.0,1101.0
2023-10-27,30.0,1314.0
2023-10-27,31.0,726.0
2023-10-27,41.0,11469.0
2023-10-27,42.0,1.0
2023-10-27,43.0,1301.0
2023-10-27,44.0,1905.0
2023-10-27,45.0,1829.0
2023-10-27,46.0,1576.0
2023-10-27,47.0,2380.0
2023-10-27,48.0,2765.0
2023-10-27,49.0,709.0
2023-10-27,99.0,43872.0
2023-10-28,11.0,4928.0
2023-10-28,26.0,1833.0
2023-10-28,27.0,1456.0
2023-10-28,28.0,1420.0
2023-10-28,29.0,650.0
2023-10-28,30.0,823.0
2023-10-28,31.0,444.0
2023-10-28,41.0,7565.0
2023-10-28,42.0,0.0
2023-10-28,43.0,782.0
2023-10-28,44.0,1185.0
2023-10-28,45.0,1104.0
2023-10-28,46.0,806.0
2023-10-28,47.0,1343.0
2023-10-28,48.0,1595.0
2023-10-28,49.0,310.0
2023-10-28,99.0,26853.0
2023-10-29,11.0,295.0
2023-10-29,26.0,39.0
2023-10-29,27.0,37.0
2023-10-29,28.0,94.0
2023-10-29,29.0,61.0
2023-10-29,30.0,26.0
2023-10-29,31.0,22.0
2023-10-29,41.0,601.0
2023-10-29,43.0,31.0
2023-10-29,44.0,69.0
2023-10-29,45.0,30.0
2023-10-29,46.0,53.0
2023-10-29,47.0,42.0
2023-10-29,48.0,70.0
2023-10-29,49.0,113.0
2023-10-29,99.0,1608.0
2023-10-30,11.0,9458.0
2023-10-30,26.0,3403.0
2023-10-30,27.0,2823.0
2023-10-30,28.0,2438.0
2023-10-30,29.0,1154.0
2023-10-30,30.0,1394.0
2023-10-30,31.0,801.0
2023-10-30,41.0,12983.0
2023-10-30,42.0,0.0
2023-10-30,43.0,1470.0
2023-10-30,44.0,2222.0
2023-10-30,45.0,2187.0
2023-10-30,46.0,1817.0
2023-10-30,47.0,2702.0
2023-10-30,48.0,3005.0
2023-10-30,49.0,894.0
2023-10-30,99.0,50314.0
2023-10-31,11.0,7507.0
2023-10-31,26.0,2734.0
2023-10-31,27.0,2304.0
2023-10-31,28.0,1883.0
2023-10-31,29.0,993.0
2023-10-31,30.0,1106.0
2023-10-31,31.0,685.0
2023-10-31,41.0,10353.0
2023-10-31,42.0,0.0
2023-10-31,43.0,1221.0
2023-10-31,44.0,1762.0
2023-10-31,45.0,1659.0
2023-10-31,46.0,1460.0
2023-10-31,47.0,2157.0
2023-10-31,48.0,2326.0
2023-10-31,49.0,660.0
2023-10-31,99.0,39948.0
2023-11-01,11.0,6425.0
2023-11-01,26.0,2429.0
2023-11-01,27.0,1958.0
2023-11-01,28.0,1701.0
2023-11-01,29.0,803.0
2023-11-01,30.0,1158.0
2023-11-01,31.0,621.0
2023-11-01,41.0,8727.0
2023-11-01,42.0,0.0
2023-11-01,43.0,1123.0
2023-11-01,44.0,1495.0
2023-11-01,45.0,1599.0
2023-11-01,46.0,1224.0
2023-11-01,47.0,1899.0
2023-11-01,48.0,2180.0
2023-11-01,49.0,559.0
2023-11-01,99.0,34932.0
2023-11-02,11.0,6752.0
2023-11-02,26.0,2526.0
2023-11-02,27.0,2106.0
2023-11-02,28.0,1719.0
2023-11-02,29.0,820.0
2023-11-02,30.0,1085.0
2023-11-02,31.0,586.0
2023-11-02,41.0,9498.0
2023-11-02,42.0,0.0
2023-11-02,43.0,1095.0
2023-11-02,44.0,1630.0
2023-11-02,45.0,1586.0
2023-11-02,46.0,1312.0
2023-11-02,47.0,1927.0
2023-11-02,48.0,2256.0
2023-11-02,49.0,616.0
2023-11-02,99.0,36635.0
2023-11-03,11.0,7726.0
2023-11-03,26.0,2972.0
2023-11-03,27.0,2394.0
2023-11-03,28.0,2030.0
2023-11-03,29.0,984.0
2023-11-03,30.0,1324.0
2023-11-03,31.0,641.0
2023-11-03,41.0,11158.0
2023-11-03,42.0,0.0
2023-11-03,43.0,1357.0
2023-11-03,44.0,1916.0
2023-11-03,45.0,1707.0
2023-11-03,46.0,1408.0
2023-11-03,47.0,2210.0
2023-11-03,48.0,2575.0
2023-11-03,49.0,650.0
2023-11-03,99.0,42322.0
2023-11-04,11.0,4973.0
2023-11-04,26.0,1795.0
2023-11-04,27.0,1465.0
2023-11-04,28.0,1340.0
2023-11-04,29.0,637.0
2023-11-04,30.0,819.0
2023-11-04,31.0,414.0
2023-11-04,41.0,7382.0
2023-11-04,42.0,0.0
2023-11-04,43.0,799.0
2023-11-04,44.0,1243.0
2023-11-04,45.0,1057.0
2023-11-04,46.0,882.0
2023-11-04,47.0,1229.0
2023-11-04,48.0,1679.0
2023-11-04,49.0,333.0
2023-11-04,99.0,26777.0
2023-11-05,11.0,299.0
2023-11-05,26.0,49.0
2023-11-05,27.0,28.0
2023-11-05,28.0,84.0
2023-11-05,29.0,44.0
2023-11-05,30.0,39.0
2023-11-05,31.0,12.0
2023-11-05,41.0,664.0
2023-11-05,43.0,29.0
2023-11-05,44.0,72.0
2023-11-05,45.0,23.0
2023-11-05,46.0,50.0
2023-11-05,47.0,27.0
2023-11-05,48.0,74.0
2023-11-05,49.0,79.0
2023-11-05,99.0,1587.0
2023-11-06,11.0,7715.0
2023-11-06,26.0,2976.0
2023-11-06,27.0,2712.0
2023-11-06,28.0,2052.0
2023-11-06,29.0,1059.0
2023-11-06,30.0,1294.0
2023-11-06,31.0,739.0
2023-11-06,41.0,11281.0
2023-11-06,42.0,1.0
2023-11-06,43.0,1340.0
2023-11-06,44.0,1991.0
2023-11-06,45.0,1887.0
2023-11-06,46.0,1687.0
2023-11-06,47.0,2535.0
2023-11-06,48.0,2722.0
2023-11-06,49.0,776.0
2023-11-06,99.0,44116.0
2023-11-07,11.0,6875.0
2023-11-07,26.0,2651.0
2023-11-07,27.0,2248.0
2023-11-07,28.0,1820.0
2023-11-07,29.0,926.0
2023-11-07,30.0,1162.0
2023-11-07,31.0,605.0
2023-11-07,41.0,9609.0
2023-11-07,42.0,0.0
2023-11-07,43.0,1110.0
2023-11-07,44.0,1672.0
2023-11-07,45.0,1565.0
2023-11-07,46.0,1407.0
2023-11-07,47.0,2028.0
2023-11-07,48.0,2403.0
2023-11-07,49.0,562.0
2023-11-07,99.0,37742.0
2023-11-08,11.0,6362.0
