업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
일반미용업,2009-09-07,스타일헤어샵,전라남도 여수시 무선2길 34 (선원동),전라남도 여수시 선원동 1245-10 
일반미용업,2009-10-15,시온헤어,"전라남도 여수시 소호로 500, 1층 (소호동)",전라남도 여수시 소호동 155-23 
일반미용업,2009-12-01,정미영. 머리를 세우다,"전라남도 여수시 여서1로 88, 2층 (여서동)",전라남도 여수시 여서동 225-5 
일반미용업,2009-12-31,정희헤어샵,전라남도 여수시 좌수영로 7-2 (서교동),전라남도 여수시 서교동 632-2 
일반미용업,2009-07-29,보노헤어,"전라남도 여수시 소호4길 15, 상가동 지하2층 8호 (소호동, 금호아파트)",전라남도 여수시 소호동 353 (금호아파트상가 지하2층8호) 
일반미용업,2010-01-05,황정연헤어샵,전라남도 여수시 쌍봉로 363 (둔덕동),전라남도 여수시 둔덕동 434-6 
일반미용업,2010-02-03,신영희헤어,"전라남도 여수시 여서2로 19, 상가동 1층 104호 (여서동, 금호아파트)",전라남도 여수시 여서동 238 금호아파트 
일반미용업,2010-02-16,토모토모,"전라남도 여수시 덕양로 157 (화장동,무선 주공3단지 아파트 분산상가동 101호)",전라남도 여수시 화장동 882 무선 주공3단지 아파트 분산상가동 101호 
일반미용업,2010-02-23,윤지민 헤어,전라남도 여수시 소라면 죽림로 15,전라남도 여수시 소라면 죽림리 1226-5 
일반미용업,2010-03-08,퀸즈헤나 헤어샵,전라남도 여수시 신기남2길 24-1 (신기동),전라남도 여수시 신기동 107-13 
일반미용업,2010-04-14,4U HAIR DESIGN(포유 헤어디자인),"전라남도 여수시 덕충안길 84, 여수엑스포타운시티프라디움2단지 상가3동 A104호 (덕충동)",전라남도 여수시 덕충동 2034 
일반미용업,2010-04-27,박미경컷트클럽,전라남도 여수시 쌍봉로 182 (신기동),전라남도 여수시 신기동 17-3 
일반미용업,2010-06-10,까까머리 헤어샵,"전라남도 여수시 선소로 62, 상가4동 2층 6호 (신기동, 부영아파트)",전라남도 여수시 신기동 137 외 1필지 신기부영3단지 상가4동 2층 6호 
일반미용업,2010-08-03,화자헤어샵,전라남도 여수시 미평로 88 (미평동),전라남도 여수시 미평동 307-1 
일반미용업,2010-08-16,수나헤어샵,전라남도 여수시 소라면 죽림2길 23-9,전라남도 여수시 소라면 죽림리 1216-3 
일반미용업,2010-09-02,써니헤어,전라남도 여수시 무선중앙로 41 (선원동),전라남도 여수시 선원동 1286-11 
일반미용업,2010-09-06,바람난 美 three,전라남도 여수시 여문1로 67 (문수동),전라남도 여수시 문수동 153-6 
일반미용업,2010-11-22,어찌나 고운지 미용실,전라남도 여수시 돌산읍 강남3길 17,전라남도 여수시 돌산읍 우두리 1082-1 
일반미용업,2010-12-24,코코헤어,전라남도 여수시 안산1길 186-35 (안산동),전라남도 여수시 안산동 439-10 (1층) 
일반미용업,2011-01-18,붐비나미용실,"전라남도 여수시 여서2로 37, 3호 (여서동, 주공아파트1단지 상가)",전라남도 여수시 여서동 241-1 주공아파트1단지 상가3호 
일반미용업,2011-03-15,헤어명작,"전라남도 여수시 소호로 473-1 (소호동,(1층))",전라남도 여수시 소호동 359-5 (1층) 
일반미용업,2011-04-04,쏘울헤어,전라남도 여수시 오림2길 12 (오림동),전라남도 여수시 오림동 404-5 
일반미용업,2011-02-22,챠밍헤어,전라남도 여수시 화산1길 32 (화장동),전라남도 여수시 화장동 739-7 
일반미용업,2011-04-25,미향헤어라인,"전라남도 여수시 미평로 68, 상가동 103호 (미평동, 귀인촌)",전라남도 여수시 미평동 232-7 귀인촌 상가동 103호
일반미용업,2011-05-06,륀느(salon de la),"전라남도 여수시 쌍봉로 46-1, 6호 (학동)",전라남도 여수시 학동 50 (제6호) 
일반미용업,2011-05-27,국화미용실,전라남도 여수시 교동시장5길 3-3 (교동),전라남도 여수시 교동 600-6 (1층) 
일반미용업,2011-06-17,헤어스토리,"전라남도 여수시 구봉길 29 (국동,외 1필지(경남@상가 지하3호))",전라남도 여수시 국동 1104 외 1필지(경남@상가 지하3호) 
일반미용업,2011-06-20,헤어펀펀,"전라남도 여수시 진남상가길 33-16 (교동, 2층)",전라남도 여수시 교동 291 2층 
일반미용업,2011-07-15,압구정헤어갤러리,전라남도 여수시 대치3길 5 (여서동),전라남도 여수시 여서동 491-13 
일반미용업,2011-07-29,고정순헤어스토리,"전라남도 여수시 국동4길 18, 2층 (국동)",전라남도 여수시 국동 700-6 
일반미용업,2011-08-17,금발의제니,"전라남도 여수시 대학로 32, 상가동 103호 (미평동, 선경아파트2차)",전라남도 여수시 미평동 741 선경A 2차상가103호 
일반미용업,2011-08-26,김정헤어샵,전라남도 여수시 흥국로 106 (신기동),전라남도 여수시 신기동 73-2 
일반미용업,2011-08-30,쥬뗌헤어,전라남도 여수시 문수로 157 (문수동),전라남도 여수시 문수동 81-12 
일반미용업,2011-10-13,권 헤어,전라남도 여수시 소호4길 5-23 (소호동),전라남도 여수시 소호동 359-14 
일반미용업,2011-10-20,최유정헤어,"전라남도 여수시 중앙로 1, 2층 (서교동)",전라남도 여수시 서교동 566-1 
일반미용업,2011-12-22,우미린헤어샵,"전라남도 여수시 장성1길 37, 상가동 2층 202호 (안산동, 여수장성우미린아파트)",전라남도 여수시 안산동 727 장성우미린아파트 상가동 202호 
일반미용업,2011-12-26,cf 헤어스타일,전라남도 여수시 학동서3길 36-2 (학동),전라남도 여수시 학동 52-2 
일반미용업,2012-02-27,주헤어아트,"전라남도 여수시 선원4길 67, 상가동 104호 (선원동,  우미이노스빌)",전라남도 여수시 선원동 1341 104호
일반미용업,2012-02-28,아우라 헤어,"전라남도 여수시 대통로 89, 1층 (화장동)",전라남도 여수시 화장동 841-14 
일반미용업,2012-04-10,비비아 헤어,"전라남도 여수시 장성1길 37, 상가동 1층 102호 (안산동, 여수장성우미린아파트)",전라남도 여수시 안산동 727 여수장성우미린아파트 상가동 102호 
일반미용업,2012-04-30,헤어미(美),전라남도 여수시 진남상가길 6-1 (중앙동),전라남도 여수시 중앙동 567 
일반미용업,2012-05-24,e쁘제헤어프리,"전라남도 여수시 허문정1길 52, 1층 (문수동)",전라남도 여수시 문수동 688-6 1층 
