관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,1,200만,360도,30일,2019,35.140094,126.799096,2024-06-30
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,2,200만,360도,30일,2019,35.140094,126.799096,2024-06-30
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,1,200만,360도,30일,2024,35.140094,126.799096,2024-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,2,200만,360도,30일,2019,35.140185,126.797191,2024-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,1,200만,360도,30일,2021,35.140185,126.797191,2024-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,1,200만,360도,30일,2024,35.140185,126.797191,2024-06-30
광주광역시 사회재난과,광산구 송정동 587-10,광산구 송도로 305,1,200만,360도,30일,2022,35.140207,126.800985,2024-06-30
광주광역시 사회재난과,광산구 송정동 587-10,광산구 송도로 305,1,200만,360도,30일,2024,35.140207,126.800985,2024-06-30
광주광역시 사회재난과,광산구 송정동 71-5,,2,200만,360도,30일,2020,35.139902,126.805314,2024-06-30
광주광역시 사회재난과,광산구 송정동 71-5,,1,200만,360도,30일,2020,35.139902,126.805314,2024-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2018,35.142564,126.799836,2024-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2022,35.142939,126.799514,2024-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2023,35.142564,126.799836,2024-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2024,35.142564,126.799836,2024-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2024,35.142939,126.799514,2024-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2018,35.141233,126.797792,2024-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2022,35.141233,126.797792,2024-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2023,35.141233,126.797792,2024-06-30
