년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,(주)EMK승경,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,21404,2m,1.47,5.3,3.85,0.02,55.7,0,59.7,7.2,84,,0,0,0,0,0,0,0,50,0,0,,0,6.5
2022,(주)익산여객,교통관련시설지역,잡종지(2지역),2지역,8553,2m,3.95,41.1,4.94,0.03,11.9,0,87.9,25.3,338,,0,0,0,0,0,0,0,91,,,,,6.5
2022,익산자동차공업사,교통관련시설지역,대지(2지역),2지역,1497,2m,1.27,11.2,4.48,0.03,12.6,0,47,8,273,,,0,,,,,,,,,,,6.4
2022,팔봉한솔공원,어린이 놀이시설지역,공원용지,1지역,67123,0.15m,1.7,17,5.23,0.02,14.2,0,63.5,5.6,,,,0,,,,,,,,,,,6
2022,팔봉대나무공원,어린이 놀이시설지역,공원용지,1지역,14928,0.15m,1.84,15.5,5.62,0.05,15.7,0,62.8,14.5,,,,0,,,,,,,,,,,6.1
2022,아사달공원,어린이 놀이시설지역,체육용지,1지역,16504,0.15m,2.5,10.4,4.47,0.03,14.6,0,71.9,4.2,,0,,0,,,,,,,,,,,5
2022,부송택지개발사업지구 개발예정지,토지개발지역,전,1지역,1146,0.15m,1.53,12.5,7.22,0.04,15.9,0,54.7,10.1,77,0,,0,,,,,,,,,,,6.3
2022,㈜동원에프앤비,산업단지 및 공장지역,공장용지,3지역,12789,30cm,1.51,10.8,3.82,0.02,16.5,0,77.2,3.4,245,,0,0,0,0,0,0,0,172,0,0,,0,7
2022,노령산업,산업단지 및 공장지역,공장용지,3지역,8645,30cm,2.46,14.7,4.95,0.06,17.6,0,68.3,7.3,188,,0,0,0,0,0,0,0,143,0,0,,0,7.2
2022,SK넥실리스,산업단지 및 공장지역,공장용지,3지역,121490.5,30cm,1.97,10.9,3.86,0.01,18.4,0,83.3,5.8,523,,0,0,0,0,0,0,0,130,0,0,,0,7
