시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
11,서울특별시,200,성동구,520,왕십리2동,37.5614596,127.0276876,202377.8895,451024.7966,11200520,Y,127.0223948,37.5578516,127.0334942,37.56497237
11,서울특별시,200,성동구,535,왕십리도선동,37.56682163,127.0295875,202545.6014,451619.9737,11200535,Y,127.0233462,37.56126426,127.0364799,37.57172297
11,서울특별시,200,성동구,540,마장동,37.56767269,127.0405526,203514.3066,451714.7597,11200540,Y,127.0322948,37.56191957,127.048215,37.57300471
11,서울특별시,200,성동구,550,사근동,37.55807349,127.0453209,203936.0386,450649.5224,11200550,Y,127.0384969,37.55256141,127.052154,37.565367
11,서울특별시,200,성동구,560,행당1동,37.55902564,127.0360939,203120.7225,450754.8715,11200560,Y,127.0306139,37.55344223,127.039525,37.56602167
11,서울특별시,200,성동구,570,행당2동,37.55665279,127.0296024,202547.2341,450491.3352,11200570,Y,127.0243919,37.55289896,127.0342642,37.5604234
11,서울특별시,200,성동구,580,응봉동,37.5509844,127.0337545,202914.3136,449862.3144,11200580,Y,127.0286659,37.5462538,127.040449,37.55484161
11,서울특별시,200,성동구,590,금호1가동,37.55364832,127.0248772,202129.8012,450157.757,11200590,Y,127.0193551,37.54797134,127.0295805,37.55802163
11,서울특별시,200,성동구,615,"금호2,3가동",37.55131272,127.0198595,201686.4584,449898.4421,11200615,Y,127.0131744,37.54805512,127.0260674,37.55732315
11,서울특별시,200,성동구,620,금호4가동,37.54455388,127.0244159,202089.2678,449148.3629,11200620,Y,127.014431,37.53784739,127.0310782,37.54924471
11,서울특별시,200,성동구,645,옥수동,37.54200387,127.0160873,201353.2806,448865.1993,11200645,Y,127.0083214,37.53510272,127.0256842,37.54992702
11,서울특별시,200,성동구,650,성수1가1동,37.54050886,127.0410391,203558.5121,448699.8764,11200650,Y,127.0282676,37.53248609,127.0519989,37.54782947
