파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,납(mg_kg),0,,716,716,15.7,4.187150837988827,7605.8,0.0,35.01354236157439,19.5,13.6,30.3,16.700000000000003,24660.504901628407,157.0366355396995,7605.8,39.01065027966576,1819.422671,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,6가크롬(mg_kg),0,,50,50,0,59.44,8.6,0.0,0.1894010767160161,0.0,0.0,0.0,0.0,0.4647513072758906,0.6817267101088901,8.6,5.666723178742587,42.09936561147039,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,아연(mg_kg),0,,1504,1504,68.3,1.993351063829788,68934.3,2.7,159.29112741827885,91.5,67.525,129.0,61.475,1675629.1881428058,1294.4609643178917,68931.6,50.41435809,2663.7853949771456,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,니켈(mg_kg),0,,542,542,7.2,5.531365313653136,440.6,0.0,17.34482988659106,12.15,7.2,22.6,15.400000000000002,335.8483466343801,18.32616562825896,440.6,7.275000538350114,120.74623689316395,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,불소(mg_kg),0,,543,543,0,2.561694290976059,1074.0,0.0,287.9827462257369,283.0,170.0,380.0,210.0,25880.71481000673,160.87484206676547,1074.0,0.5394202038088167,0.3736371734622272,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,유기인(mg_kg),0,,2,2,0,288.0,0.05,0.0,0.000173611,0.0,0.0,0.0,0.0,8.665458937198167e-06,0.002943715,0.05,16.92615666979833,285.4860445070352,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,폴리클로리네이티드비페닐(PCBs)(mg_kg),0,,5,5,0,145.8,0.81,0.0,0.003113855,0.0,0.0,0.0,0.0,0.001806362,0.042501318,0.81,18.21540781661956,339.7496075,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,시안(mg_kg),0,,10,10,0,211.3,1.2,0.0,0.01471841,0.0,0.0,0.0,0.0,0.006028531,0.077643615,1.2,7.205101977262503,68.51873011,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,페놀류(mg_kg),0,,18,18,0,63.55555555555556,1.11,0.0,0.006101399,0.0,0.0,0.0,0.0,0.003092224,0.055607771,1.11,15.68862270738347,278.21918464211967,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,벤젠(mg_kg),0,,5,5,0,360.6,0.6,0.0,0.004104271,0.0,0.0,0.0,0.0,0.000959838,0.030981255,0.6,9.165136463500357,109.26731256981832,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,톨루엔(mg_kg),0,,12,12,0,150.25,21.8,0.0,0.02651137,0.0,0.0,0.0,0.0,0.2751569126064914,0.5245540130496491,21.8,39.89483808595888,1650.6902065592433,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,에틸벤젠(mg_kg),0,,13,13,0,138.6153846153846,23.2,0.0,0.023862375,0.0,0.0,0.0,0.0,0.3048494824369821,0.5521317618440205,23.2,41.15694863348157,1726.6500942973582,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,크실렌(mg_kg),0,,17,17,0,106.3529411764706,65.4,0.0,0.079037611,0.0,0.0,0.0,0.0,2.423063378772975,1.5566192144429465,65.4,41.003288240344254,1718.958767153207,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,석유계총탄화수소(TPH)(mg_kg),0,,275,275,0,6.429090909090909,2651.0,0.0,73.13348416289593,0.0,0.0,89.0,89.0,31305.041594644063,176.9323079447167,2651.0,6.770206631374313,69.38320041770886,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,트리클로로에틸렌(TCE)(mg_kg),0,,10,10,0,146.3,1.9,0.0,0.009501025,0.0,0.0,0.0,0.0,0.008220202,0.090665331,1.9,16.199672730232688,296.39917414331524,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,테트라클로로에틸렌(PCE)(mg_kg),0,,7,7,0,208.42857142857144,4.8,0.0,0.008361892,0.0,0.0,0.0,0.0,0.022632363,0.1504405622554227,4.8,26.63665629296669,779.8862429745191,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,벤조(a)피렌(mg_kg),0,,17,17,0,12.764705882352942,0.229,0.0,0.003543779,0.0,0.0,0.0,0.0,0.000338323,0.018393567,0.229,9.636232512772509,108.98931297706812,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,12디클로로에탄(mg_kg),0,,2,2,0,703.0,0.1,0.0,0.001778094,0.0,0.0,0.0,0.0,0.000174772,0.013220139,0.1,7.305611283447471,51.44513369608988,환경기상,환경일반
17_환경부 국립환경과학원_토양오염실태조사 결과_20221231.csv,수소이온농도(pH),0,,69,69,7.1,46.47826086956522,11.4,3.5,7.408387901465543,7.3,6.7,8.2,1.4999999999999991,1.194561561275909,1.092959999851737,7.9,-0.038646767,-0.179854397,환경기상,환경일반
18_환경부 국립환경과학원_환경측정기기 형식승인 현황_20231101.csv,일련  번호,0,,606,606,4,4.364686468646864,606.0,1.0,195.60567107750472,152.0,61.0,312.0,251.0,24976.43333,158.03934107169138,605.0,0.6788723161059531,-0.641716879,환경기상,환경일반
18_환경부 국립환경과학원_환경측정기기 형식승인 현황_20231101.csv,연도,0,,33,33,2023,80.15151515151516,2023.0,1991.0,2013.6948960302457,2015.0,2008.0,2020.0,12.0,52.564591942666056,7.250144270472558,32.0,-0.711078855,0.1887157105460808,환경기상,환경일반
