진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,G7105,1227,1382,1409,18258720
2023,여,외래,G7201,485662,581944,738379.05,4390538481
2023,여,외래,G7202,1152458,1475487,2055018.37,17220007952
2023,여,외래,G7203,927685,1143350,1498827.2,14752209895
2023,여,외래,G7204,919809,1149295,1384038.05,15662612043
2023,여,외래,G7205,454305,527638,571662.75,7299646506
2023,여,외래,G7301,67455,82319,91409.6,553330597
2023,여,외래,G7302,135709,155242,198517.3,1680977605
2023,여,외래,G7303,13070,14477,18389,177275074
2023,여,외래,G7304,60343,75112,88343.85,1007032375
2023,여,외래,G7305,2645,2733,2778,35909733
2023,여,외래,G7401,126573,144828,195147.15,1169655131
2023,여,외래,G7402,390412,474634,586700.56,4930855577
2023,여,외래,G7403,631350,854656,1061141.5,10485123194
2023,여,외래,G7404,400418,539050,622231.8,7040860325
2023,여,외래,G7405,139608,164328,187555,2397495673
2023,여,외래,G7501,118721,136661,191548.2,1153299492
2023,여,외래,G7502,452540,591245,717759.65,6025387884
2023,여,외래,G7503,560423,778015,960066.95,9469884314
2023,여,외래,G7504,466165,677613,807708.56,9146709301
2023,여,외래,G7505,91488,100812,107133.7,1369888398
2023,여,외래,G7601,244721,296196,299986.2,1856740666
2023,여,외래,G7602,15293,17020,17745,159882335
2023,여,외래,G7603,196840,237583,242832.96,2537818089
2023,여,외래,G7604,31005,35878,36265.1,444181477
2023,여,외래,G7605,12525,15899,15913.3,182268549
2023,여,외래,G7701,458035,540031,714407.6,4226016671
2023,여,외래,G7702,98107,110468,116633.65,962902278
2023,여,외래,G7703,9583,10638,13263,129017112
2023,여,외래,G7704,3896,4334,4618,52704291
2023,여,외래,G7705,2190,2316,2367,30364002
2023,여,외래,G7801,8790,11319,15851,97142560
2023,여,외래,G7802,22721,30130,33548.75,282301888
2023,여,외래,G7803,15212,20150,23474.9,231827187
2023,여,외래,G7804,11062,14356,16429.6,187147318
2023,여,외래,G7805,476,493,502,6405510
2023,여,외래,G7901,29869,34677,44163.7,262884587
2023,여,외래,G7902,46970,56763,70146.75,589023126
2023,여,외래,G7903,4292,5070,5449.2,53549436
2023,여,외래,G7904,5275,5764,6109.05,69027726
2023,여,외래,G7905,610,1085,1183,14912449
2023,여,외래,G8101,44666,54107,68735.1,407584536
2023,여,외래,G8102,271500,343705,408513.4,3435448962
2023,여,외래,G8103,93341,119508,140002.15,1386096670
2023,여,외래,G8104,235187,316857,367880.9,4181231347
2023,여,외래,G8105,11944,12598,13110.35,168835629
2023,여,외래,G8201,31571,47323,55932.3,330390215
2023,여,외래,G8202,108869,171427,193657.6,1627079382
2023,여,외래,G8203,58640,96789,110716.6,1094658246
2023,여,외래,G8204,102822,182977,201762.3,2295420511
2023,여,외래,G8205,8653,9483,9639.6,124232941
2023,여,외래,G9101,4145471,7855782,11372856.87,49983837162
2023,여,외래,G9102,155558,191494,222886.95,1549580942
2023,여,외래,G9103,12265,13338,14527.5,143968475
2023,여,외래,G9104,2481,3271,3403,36760562
2023,여,외래,G9105,1295,1703,1769,21896674
2023,여,외래,G9501,218296,245543,441531.75,2299949313
2023,여,외래,G9502,11029,11565,17502,132547174
2023,여,외래,G9503,607,618,697,6596026
2023,여,외래,G9504,80,83,91,1072924
2023,여,외래,G9505,25,29,33,467400
2023,여,외래,G9601,744,759,916,5279545
2023,여,외래,G9701,7487126,9275124,9281783.74,129429025352
2023,여,외래,G9761,170217,187623,187718.35,3041964643
2023,여,외래,G9801,22456,23861,26352.85,307249430
2023,여,외래,G9901,4452,4546,4547.3,106492925
2023,여,외래,GB011,1130641,1743360,2252769.7,3424187174
2023,여,외래,GB012,826908,1114902,1619699,3691242680
2023,여,외래,GB013,208761,270820,375019,1140057820
2023,여,외래,GB014,201986,268207,334237,1270100670
2023,여,외래,GB015,111101,130134,151834,692363220
2023,여,외래,GB021,1647495,2256618,2808145.7,3201205538
2023,여,외래,GB022,1440696,1946820,2513206.2,4322714754
2023,여,외래,GB023,570271,761013,953199,2182825710
2023,여,외래,GB024,650308,926997,1144381.7,3272931722
2023,여,외래,GB025,325459,378367,438318,1503430740
2023,여,외래,GB031,1074165,1399965,1934215.1,1617824361
2023,여,외래,GB032,910720,1273090,1628979.5,1981109285
2023,여,외래,GB033,752670,1053007,1411998,2288687920
2023,여,외래,GB034,1099279,1579868,2028851.5,4104687350
2023,여,외래,GB035,698650,825030,957062,2316717240
2023,여,외래,GB041,150786,172177,206851.7,192316131
2023,여,외래,GB042,244780,286313,392437.8,545492967
2023,여,외래,GB043,99263,123172,155823.1,289802726
2023,여,외래,GB044,155890,195555,245967.2,570599154
2023,여,외래,GB045,69716,77728,92049,256591750
2023,여,외래,H0124,1,1,1.1,0
2023,여,외래,HA010,2264,2441,2451,119417678
2023,여,외래,HA011,49,51,51,3740877
2023,여,외래,HA012,3,3,3,206308
2023,여,외래,HA021,17,17,17,934527
2023,여,외래,HA022,146,147,147,8136178
2023,여,외래,HA023,66,69,69,7711498
2023,여,외래,HA031,466,508,508,34439434
2023,여,외래,HA032,481,499,499,36193951
2023,여,외래,HA033,6709,7035,7036,425675012
2023,여,외래,HA040,3046,3439,3440,133055809
2023,여,외래,HA081,212,242,242,14324357
2023,여,외래,HA082,10,12,10.5,4216780
2023,여,외래,HA090,90,97,144,18467218
2023,여,외래,HA102,64219,104902,105169.37,15651834813
2023,여,외래,HA103,666,811,812,133562848
2023,여,외래,HA104,373,392,493,45570243
2023,여,외래,HA105,9,9,9,1098205
2023,여,외래,HA106,1,1,1,144183
2023,여,외래,HA107,98,113,113,15198301
2023,여,외래,HA131,31074,40798,40981.9,3034493102
2023,여,외래,HA132,1343,2219,1356.9,160259169
2023,여,외래,HA133,256,458,255.4,40015892
2023,여,외래,HA134,257,280,292,60083923
2023,여,외래,HA135,2765,3512,3515.9,272379729
2023,여,외래,HA141,477,533,531.15,23024619
2023,여,외래,HA142,334,346,346,17182465
2023,여,외래,HA143,13,14,14,588899
2023,여,외래,HA144,1575,1625,1625,96077726
2023,여,외래,HA151,2,2,2,84292
2023,여,외래,HA161,42957,43172,43448.25,3255264209
2023,여,외래,HA162,218,220,220,9009722
2023,여,외래,HA171,155,156,155.5,13170102
2023,여,외래,HA172,4,4,4,607065
2023,여,외래,HA280,355028,489906,519151.13,51222687332
2023,여,외래,HA310,6,6,6,295178
2023,여,외래,HA330,3805,3833,4742,363341155
2023,여,외래,HA340,150,164,164,10288683
2023,여,외래,HA360,1238,1727,1838.5,73586959
